,Mirc56_01,Mirc56_02,Mirc56_03,Mirc56_04,Mirc56_05,Mirc56_06,Mirc56_07,Mirc56_08,Mirc56_09,Mirc56_10,Mirc56_11,Mirc56_12,Mirc56_13,Mirc56_14,Mirc56_15,Mirc56_16,Mirc56_17
PB_single2_071,0.384701018,0,0.46071883,0.000477099,0.001113232,0.200858779,0.305820611,0.83110687,1,0.062181934,0.372773537,0.352735369,0.433683206,0.312022901,0.685591603,0.002226463,0.891857506
PB_single2_073,0.024710173,0,0.000108855,2.72E-05,0.000217711,0.000108855,0,0.004218146,0.002041038,0.000653132,0.008980569,1,0.003619442,0.000326566,0.000108855,0.002394818,0.016954226
PB_single2_075,0.003406627,0,0.00547125,0,0.000206462,0.000258078,0.000103231,0.002787241,1,0.971766285,0.013729741,0.000877465,0.000103231,0.392020233,0.000671002,0.000206462,0.008981109
PB_single2_077,0.00225739,0,0.00166334,0.000570288,0.000332668,9.50E-05,0,0.000166334,0.00059405,1,0.001829674,0.000760384,0.001805912,0.000522764,0.003659348,0.000142572,0.000499002
PB_single2_078,0.425952885,0,0.000132345,0.000330863,0.001124934,6.62E-05,0.31107729,0.000727898,1,0.520314981,0.004235045,0.001588142,0.000794071,0.000132345,0.000463208,0.00026469,0.52309423
PB_single2_079,0.013689538,0.002074172,0.001825272,0,1,0.000912636,0.568738074,0.003069775,0.006222517,0.321081888,0.465278354,0.000663735,0.43839708,0.000248901,0.774827844,0.000663735,0.274205592
PB_single2_080,0.009813543,0,1,6.54E-05,0.000152655,8.72E-05,0.006258859,0.008526878,0.004056264,0.000261694,0.02747792,0.000763276,0.000457965,0,0.001722822,0.001090394,0.021088213
PB_single2_081,0.006477088,0,0.005541893,3.46E-05,0.001004468,0.000865921,0.002251394,0.000796647,0.005922898,0.001281563,0.00689273,1,0.004329604,0.00218212,0.987253646,0.000623463,0.007724014
PB_single2_083,0.003613653,0,0.000451707,0,0.001276562,0.000864134,0.001158726,0.00035351,1,0.000235673,0.004792019,0.000412428,0.000608822,0,0.002101418,9.82E-05,0.00508661
PB_single2_085,0.216113228,0,0.355470876,0.184104518,0.482416984,0.495481764,0,0.631573217,0.143168209,0.815895482,0.694610778,0.596298312,0.674142624,0.151007077,1,0.53391399,0.351224823
PB_single2_086,0.014417496,0,0.850998839,6.11E-05,0.00390983,0.000183273,0.000305455,0.001588368,0.003298919,0.987965056,0.012157126,0.000733093,1,0,0.000610911,0.000244364,0.01069094
PB_single2_087,0.197484361,0.054079505,0.193784893,6.73E-05,1,0.271002892,0.434990247,0.423488263,0.000134526,0.00174884,0.227349163,0.153965158,0.117508576,0.306921369,0.161229569,0.252236497,0.094908186
PB_single2_089,0.005936585,0,0.000383005,0,0.000191503,0.000164145,0.000355648,1,0.001340519,0.000793369,0.01321369,0.000465078,0.000629223,5.47E-05,0.000738653,0.001805597,0.672202008
PB_single2_092,0.004983453,0,0.0001752,0,5.84E-05,0.0001752,0.000136266,0.000545065,9.73E-05,0.000214133,0.006969048,0.000214133,0.000369866,3.89E-05,1,0.000992797,0.009071442
PB_single2_093,0.00523454,0,0.000405778,0,0.00056809,0.00186658,0.000162311,0.001460802,0.000162311,1,0.008561922,0.000486934,0.00093329,8.12E-05,0.000852134,0.58091219,0.009738679
